neighborhoodCrimeStatisticsID,neighborhood,ucrDescription,number,Date
572,ST. ANTHONY EAST,Burglary,2.0,2017-08-01
574,ST. ANTHONY EAST,Larceny,3.0,2017-08-01
580,ST. ANTHONY WEST,Burglary,3.0,2017-08-01
582,ST. ANTHONY WEST,Larceny,2.0,2017-08-01
583,ST. ANTHONY WEST,Rape,1.0,2017-08-01
587,STANDISH,Auto Theft,3.0,2017-08-01
588,STANDISH,Burglary,13.0,2017-08-01
590,STANDISH,Larceny,13.0,2017-08-01
591,STANDISH,Rape,1.0,2017-08-01
592,STANDISH,Robbery,2.0,2017-08-01
593,STEVENS SQUARE - LORING HEIGHTS,Aggravated Assault,2.0,2017-08-01
595,STEVENS SQUARE - LORING HEIGHTS,Auto Theft,3.0,2017-08-01
596,STEVENS SQUARE - LORING HEIGHTS,Burglary,1.0,2017-08-01
598,STEVENS SQUARE - LORING HEIGHTS,Larceny,12.0,2017-08-01
599,STEVENS SQUARE - LORING HEIGHTS,Rape,1.0,2017-08-01
600,STEVENS SQUARE - LORING HEIGHTS,Robbery,3.0,2017-08-01
601,SUMNER - GLENWOOD,Aggravated Assault,1.0,2017-08-01
603,SUMNER - GLENWOOD,Auto Theft,3.0,2017-08-01
606,SUMNER - GLENWOOD,Larceny,6.0,2017-08-01
609,TANGLETOWN,Aggravated Assault,1.0,2017-08-01
611,TANGLETOWN,Auto Theft,3.0,2017-08-01
612,TANGLETOWN,Burglary,8.0,2017-08-01
614,TANGLETOWN,Larceny,7.0,2017-08-01
619,UNIVERSITY OF MINNESOTA,Auto Theft,6.0,2017-08-01
620,UNIVERSITY OF MINNESOTA,Burglary,3.0,2017-08-01
622,UNIVERSITY OF MINNESOTA,Larceny,35.0,2017-08-01
624,UNIVERSITY OF MINNESOTA,Robbery,3.0,2017-08-01
625,VENTURA VILLAGE,Aggravated Assault,8.0,2017-08-01
626,VENTURA VILLAGE,Arson,1.0,2017-08-01
627,VENTURA VILLAGE,Auto Theft,6.0,2017-08-01
628,VENTURA VILLAGE,Burglary,3.0,2017-08-01
630,VENTURA VILLAGE,Larceny,9.0,2017-08-01
631,VENTURA VILLAGE,Rape,1.0,2017-08-01
632,VENTURA VILLAGE,Robbery,3.0,2017-08-01
633,VICTORY,Aggravated Assault,1.0,2017-08-01
636,VICTORY,Burglary,9.0,2017-08-01
638,VICTORY,Larceny,3.0,2017-08-01
641,WAITE PARK,Aggravated Assault,1.0,2017-08-01
644,WAITE PARK,Burglary,5.0,2017-08-01
646,WAITE PARK,Larceny,5.0,2017-08-01
649,WEBBER - CAMDEN,Aggravated Assault,6.0,2017-08-01
651,WEBBER - CAMDEN,Auto Theft,3.0,2017-08-01
652,WEBBER - CAMDEN,Burglary,10.0,2017-08-01
654,WEBBER - CAMDEN,Larceny,13.0,2017-08-01
656,WEBBER - CAMDEN,Robbery,2.0,2017-08-01
657,WENONAH,Aggravated Assault,1.0,2017-08-01
659,WENONAH,Auto Theft,2.0,2017-08-01
660,WENONAH,Burglary,6.0,2017-08-01
662,WENONAH,Larceny,3.0,2017-08-01
664,WENONAH,Robbery,2.0,2017-08-01
667,WEST CALHOUN,Auto Theft,1.0,2017-08-01
670,WEST CALHOUN,Larceny,8.0,2017-08-01
673,WHITTIER,Aggravated Assault,8.0,2017-08-01
675,WHITTIER,Auto Theft,12.0,2017-08-01
676,WHITTIER,Burglary,9.0,2017-08-01
678,WHITTIER,Larceny,44.0,2017-08-01
679,WHITTIER,Rape,2.0,2017-08-01
680,WHITTIER,Robbery,3.0,2017-08-01
681,WILLARD - HAY,Aggravated Assault,7.0,2017-08-01
682,WILLARD - HAY,Arson,1.0,2017-08-01
683,WILLARD - HAY,Auto Theft,7.0,2017-08-01
684,WILLARD - HAY,Burglary,5.0,2017-08-01
686,WILLARD - HAY,Larceny,13.0,2017-08-01
687,WILLARD - HAY,Rape,5.0,2017-08-01
688,WILLARD - HAY,Robbery,1.0,2017-08-01
689,WINDOM,Aggravated Assault,2.0,2017-08-01
691,WINDOM,Auto Theft,1.0,2017-08-01
692,WINDOM,Burglary,1.0,2017-08-01
694,WINDOM,Larceny,10.0,2017-08-01
697,WINDOM PARK,Aggravated Assault,1.0,2017-08-01
700,WINDOM PARK,Burglary,5.0,2017-08-01
702,WINDOM PARK,Larceny,10.0,2017-08-01
705,** NOT ASSIGNED **,Aggravated Assault,6.0,2017-09-01
707,** NOT ASSIGNED **,Auto Theft,3.0,2017-09-01
708,** NOT ASSIGNED **,Burglary,3.0,2017-09-01
710,** NOT ASSIGNED **,Larceny,9.0,2017-09-01
711,** NOT ASSIGNED **,Rape,2.0,2017-09-01
712,** NOT ASSIGNED **,Robbery,1.0,2017-09-01
713,ARMATAGE,Aggravated Assault,1.0,2017-09-01
715,ARMATAGE,Auto Theft,1.0,2017-09-01
716,ARMATAGE,Burglary,2.0,2017-09-01
718,ARMATAGE,Larceny,9.0,2017-09-01
722,AUDUBON PARK,Arson,1.0,2017-09-01
723,AUDUBON PARK,Auto Theft,2.0,2017-09-01
724,AUDUBON PARK,Burglary,3.0,2017-09-01
725,AUDUBON PARK,Homicide,1.0,2017-09-01
726,AUDUBON PARK,Larceny,1.0,2017-09-01
727,AUDUBON PARK,Rape,1.0,2017-09-01
729,BANCROFT,Aggravated Assault,1.0,2017-09-01
732,BANCROFT,Burglary,11.0,2017-09-01
734,BANCROFT,Larceny,1.0,2017-09-01
736,BANCROFT,Robbery,3.0,2017-09-01
740,BELTRAMI,Burglary,2.0,2017-09-01
742,BELTRAMI,Larceny,2.0,2017-09-01
747,BOTTINEAU,Auto Theft,1.0,2017-09-01
750,BOTTINEAU,Larceny,3.0,2017-09-01
751,BOTTINEAU,Rape,1.0,2017-09-01
753,BRYANT,Aggravated Assault,2.0,2017-09-01
756,BRYANT,Burglary,11.0,2017-09-01
758,BRYANT,Larceny,4.0,2017-09-01
763,BRYN - MAWR,Auto Theft,2.0,2017-09-01
764,BRYN - MAWR,Burglary,2.0,2017-09-01
766,BRYN - MAWR,Larceny,11.0,2017-09-01
771,CAMDEN INDUSTRIAL,Auto Theft,1.0,2017-09-01
777,CARAG,Aggravated Assault,1.0,2017-09-01
779,CARAG,Auto Theft,1.0,2017-09-01
780,CARAG,Burglary,4.0,2017-09-01
782,CARAG,Larceny,19.0,2017-09-01
784,CARAG,Robbery,2.0,2017-09-01
790,CEDAR - ISLES - DEAN,Larceny,6.0,2017-09-01
792,CEDAR - ISLES - DEAN,Robbery,2.0,2017-09-01
793,CEDAR RIVERSIDE,Aggravated Assault,1.0,2017-09-01
795,CEDAR RIVERSIDE,Auto Theft,6.0,2017-09-01
796,CEDAR RIVERSIDE,Burglary,3.0,2017-09-01
798,CEDAR RIVERSIDE,Larceny,22.0,2017-09-01
800,CEDAR RIVERSIDE,Robbery,8.0,2017-09-01
801,CENTRAL,Aggravated Assault,17.0,2017-09-01
802,CENTRAL,Arson,1.0,2017-09-01
803,CENTRAL,Auto Theft,4.0,2017-09-01
804,CENTRAL,Burglary,24.0,2017-09-01
806,CENTRAL,Larceny,10.0,2017-09-01
807,CENTRAL,Rape,1.0,2017-09-01
808,CENTRAL,Robbery,4.0,2017-09-01
809,CLEVELAND,Aggravated Assault,11.0,2017-09-01
812,CLEVELAND,Burglary,6.0,2017-09-01
814,CLEVELAND,Larceny,5.0,2017-09-01
817,COLUMBIA PARK,Aggravated Assault,1.0,2017-09-01
822,COLUMBIA PARK,Larceny,5.0,2017-09-01
827,COMO,Auto Theft,2.0,2017-09-01
828,COMO,Burglary,10.0,2017-09-01
830,COMO,Larceny,9.0,2017-09-01
831,COMO,Rape,1.0,2017-09-01
836,COOPER,Burglary,3.0,2017-09-01
838,COOPER,Larceny,7.0,2017-09-01
841,CORCORAN,Aggravated Assault,3.0,2017-09-01
844,CORCORAN,Burglary,2.0,2017-09-01
846,CORCORAN,Larceny,7.0,2017-09-01
848,CORCORAN,Robbery,1.0,2017-09-01
849,DIAMOND LAKE,Aggravated Assault,1.0,2017-09-01
852,DIAMOND LAKE,Burglary,3.0,2017-09-01
854,DIAMOND LAKE,Larceny,5.0,2017-09-01
855,DIAMOND LAKE,Rape,1.0,2017-09-01
859,DOWNTOWN EAST,Auto Theft,3.0,2017-09-01
860,DOWNTOWN EAST,Burglary,3.0,2017-09-01
862,DOWNTOWN EAST,Larceny,18.0,2017-09-01
864,DOWNTOWN EAST,Robbery,2.0,2017-09-01
865,DOWNTOWN WEST,Aggravated Assault,16.0,2017-09-01
867,DOWNTOWN WEST,Auto Theft,2.0,2017-09-01
868,DOWNTOWN WEST,Burglary,6.0,2017-09-01
870,DOWNTOWN WEST,Larceny,140.0,2017-09-01
871,DOWNTOWN WEST,Rape,5.0,2017-09-01
872,DOWNTOWN WEST,Robbery,23.0,2017-09-01
873,EAST HARRIET,Aggravated Assault,1.0,2017-09-01
876,EAST HARRIET,Burglary,1.0,2017-09-01
878,EAST HARRIET,Larceny,10.0,2017-09-01
881,EAST ISLES,Aggravated Assault,2.0,2017-09-01
883,EAST ISLES,Auto Theft,4.0,2017-09-01
884,EAST ISLES,Burglary,1.0,2017-09-01
886,EAST ISLES,Larceny,24.0,2017-09-01
888,EAST ISLES,Robbery,1.0,2017-09-01
889,EAST PHILLIPS,Aggravated Assault,1.0,2017-09-01
891,EAST PHILLIPS,Auto Theft,3.0,2017-09-01
892,EAST PHILLIPS,Burglary,3.0,2017-09-01
893,EAST PHILLIPS,Homicide,1.0,2017-09-01
894,EAST PHILLIPS,Larceny,13.0,2017-09-01
896,EAST PHILLIPS,Robbery,9.0,2017-09-01
897,ECCO,Aggravated Assault,2.0,2017-09-01
899,ECCO,Auto Theft,1.0,2017-09-01
900,ECCO,Burglary,2.0,2017-09-01
902,ECCO,Larceny,12.0,2017-09-01
904,ECCO,Robbery,1.0,2017-09-01
905,ELLIOT PARK,Aggravated Assault,3.0,2017-09-01
907,ELLIOT PARK,Auto Theft,4.0,2017-09-01
908,ELLIOT PARK,Burglary,3.0,2017-09-01
910,ELLIOT PARK,Larceny,13.0,2017-09-01
911,ELLIOT PARK,Rape,2.0,2017-09-01
912,ELLIOT PARK,Robbery,7.0,2017-09-01
915,ERICSSON,Auto Theft,1.0,2017-09-01
916,ERICSSON,Burglary,8.0,2017-09-01
918,ERICSSON,Larceny,2.0,2017-09-01
921,FIELD,Aggravated Assault,1.0,2017-09-01
923,FIELD,Auto Theft,2.0,2017-09-01
924,FIELD,Burglary,5.0,2017-09-01
926,FIELD,Larceny,7.0,2017-09-01
929,FOLWELL,Aggravated Assault,10.0,2017-09-01
931,FOLWELL,Auto Theft,5.0,2017-09-01
932,FOLWELL,Burglary,6.0,2017-09-01
934,FOLWELL,Larceny,8.0,2017-09-01
936,FOLWELL,Robbery,4.0,2017-09-01
939,FULTON,Auto Theft,1.0,2017-09-01
940,FULTON,Burglary,2.0,2017-09-01
942,FULTON,Larceny,7.0,2017-09-01
948,HALE,Burglary,1.0,2017-09-01
950,HALE,Larceny,1.0,2017-09-01
953,HARRISON,Aggravated Assault,4.0,2017-09-01
955,HARRISON,Auto Theft,5.0,2017-09-01
956,HARRISON,Burglary,4.0,2017-09-01
958,HARRISON,Larceny,6.0,2017-09-01
